technique,question_id,question,expected_source_file,rank,store_score,cosine_sim,chunk_len,preview,source_file,latency_ms
token,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,1,0.720782,0.712961,620,## Overview The FDA and CDC investigated a multi-state outbreak of Listeria monocytogenes infections linked to requeson (soft ricotta-style cheese) manufactured,fda_outbreak_listeria_soft_cheese_2026.txt,18.421
token,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,2,0.715255,0.675308,709,"Mexicano products under La Colonia and Selectos Latinos brands; distributed to Maryland, Virginia, and Washington D.C. from May 11 to June 1, 2026. Nelson & Isa",fda_outbreak_listeria_soft_cheese_2026.txt,18.421
token,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,3,0.690888,0.661852,522,"positive for outbreak strain Listeria monocytogenes. Of interviewed individuals, most reported consuming cheese, with several specifically consuming Clover Hill",fda_outbreak_listeria_soft_cheese_2026.txt,18.421
token,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,4,0.615822,0.586718,444,Investigations Date Posted Reference # Pathogen or Cause of Illness Product(s) Linked to Illnesses (if any) Total Case Count Investigation Status Outbreak/ Even,fda_outbreaks_investigations_index.txt,18.421
token,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,5,0.608269,0.47948,597,"Recalled Products & Manufacturers Clover Hill Dairy, LLC (Primary source) Recalled all cheese products manufactured at their facility, including soft ricotta/re",fda_outbreak_listeria_soft_cheese_2026.txt,18.421
token,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,1,0.668647,0.774998,626,"Published: Aug 27, 2026. Updated: Aug 27, 2026. The FDA elevated a pistachio nut butter recall to Class I status on August 26, 2026 -- its most serious risk cla",news_nutbutter_salmonella_botticelli_2026.txt,15.374
token,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,2,0.579836,0.584562,726,between May 25th and July 13th which failed to declare soy flour (soy) as an ingredient. | Distribution: These were made in house at Whole Foods Market location,openfda_enforcement_bulk_records.txt,15.374
token,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,3,0.513909,0.605587,559,"and Dominica Recall #F-0370-2013 | Class I | Firm: Sunland, Incorporated (Portales, NM) | Initiated: 20120924 | Product: Sunland Creamy Peanut Butter, 12 oz, UP",openfda_enforcement_bulk_records.txt,15.374
token,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,4,0.500971,0.580029,741,"| Class I | Firm: Sunland, Incorporated (Portales, NM) | Initiated: 20120924 | Product: Cadia All Natural Creamy Peanut Butter No Stir, 18 oz, UPC 815369010993.",openfda_enforcement_bulk_records.txt,15.374
token,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,5,0.499736,0.554461,691,"and Dominica Recall #F-2044-2016 | Class I | Firm: Superior Dairy Inc (Canton, OH) | Initiated: 20160803 | Product: Mint Chocolate Chip Devils Food Rollcake -89",openfda_enforcement_bulk_records.txt,15.374
token,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,1,0.734821,0.720674,665,"Key Dates: Investigation Period June-August 2026. Illness Onset April-May 2026. Last Illness Onset May 31, 2026. Recall Date June 13, 2026. Outbreak Declared Ov",fda_outbreak_infant_botulism_formula_2026.txt,15.672
token,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,2,0.701363,0.559847,748,Organics Whole Milk Organic Powdered Infant Formula. Recalled products should no longer be available for sale. Recalled product has Best By dates ending in 2027,fda_outbreak_infant_botulism_formula_2026.txt,15.672
token,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,3,0.677816,0.429881,155,botulism appear. Refund Process: Automatic refunds for May-June 2026 website purchases; others may request refunds via Nara's website or return to Target.,fda_recall_nara_organics_infant_formula_2026.txt,15.672
token,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,4,0.670668,0.62027,419,"Company Name: Nara Organics of New York, NY Product: Nara Organics Whole Milk Powdered Infant Formula Sizes and UPCs: - 700g, UPC 860013251901 - 400g, UPC 86001",fda_recall_nara_organics_infant_formula_2026.txt,15.672
token,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,5,0.663338,0.581068,629,"709125273E14F2, 709125280E14F2, 709125288E14F2, 409125307E14F2, 70926019ENNB, 70926029ENNB, 70926035ENNB, 70926039ENNB, 70926042ENNB Distribution: distributed n",fda_recall_nara_organics_infant_formula_2026.txt,15.672
token,q4,"How many U.S. states were affected by the July 2026 Cyclospora outbreak linked to iceberg lettuce from Taylor Farms de Mexico, and how many deaths occurred?",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,1,0.760914,0.728318,579,"## Title and Status CDC declared the outbreak concluded as of September 11, 2026, though FDA continues investigating. ## Summary The FDA and CDC collaborated wi",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,15.141
token,q4,"How many U.S. states were affected by the July 2026 Cyclospora outbreak linked to iceberg lettuce from Taylor Farms de Mexico, and how many deaths occurred?",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,2,0.741824,0.575721,517,items sold at Walmart: - 12-oz and 24-oz Iceberg Salad with Best if Used By dates 7/18/2026 to 8/3/2026 - 8-oz and 16-oz Shredded Lettuce with Best if Used By d,fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,15.141
token,q4,"How many U.S. states were affected by the July 2026 Cyclospora outbreak linked to iceberg lettuce from Taylor Farms de Mexico, and how many deaths occurred?",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,3,0.699608,0.567996,705,"570 hospitalizations and 2 deaths. States included: Arkansas, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maine, Michigan, Missouri, Nebr",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,15.141
token,q4,"How many U.S. states were affected by the July 2026 Cyclospora outbreak linked to iceberg lettuce from Taylor Farms de Mexico, and how many deaths occurred?",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,4,0.682032,0.450858,308,"Recommendations People with symptoms should contact their health care provider to report symptoms and receive care, especially if they ate shredded iceberg lett",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,15.141
token,q4,"How many U.S. states were affected by the July 2026 Cyclospora outbreak linked to iceberg lettuce from Taylor Farms de Mexico, and how many deaths occurred?",fda_outbreak_cyclospora_iceberg_lettuce_2026.txt,5,0.639829,0.65251,744,"the outbreak of Cyclospora (ref #1392), the case count has increased from 231 to 234. For the outbreak of Cyclospora (ref #1390) linked to iceberg lettuce, the ",fda_outbreaks_investigations_index.txt,15.141
token,q5,"According to the CDC, roughly how many Salmonella infections occur in the U.S. every year, and what are the most common food sources?",cdc_about_salmonella.txt,1,0.700326,0.625954,748,"CDC estimates Salmonella causes about 1.35 million infections in the United States every year, along with 26,500 hospitalizations and 420 deaths. Most people de",cdc_about_salmonella.txt,16.298
token,q5,"According to the CDC, roughly how many Salmonella infections occur in the U.S. every year, and what are the most common food sources?",cdc_about_salmonella.txt,2,0.644246,0.511514,537,"January 19, 2024, CDC announced that the outbreak is over. CDC reports a total of 407 illnesses in 44 states. There has been a total of 158 hospitalizations and",fda_outbreak_salmonella_cantaloupes_2023.txt,16.298
token,q5,"According to the CDC, roughly how many Salmonella infections occur in the U.S. every year, and what are the most common food sources?",cdc_about_salmonella.txt,3,0.609132,0.577888,493,Investigations Date Posted Reference # Pathogen or Cause of Illness Product(s) Linked to Illnesses (if any) Total Case Count Investigation Status Outbreak/ Even,fda_outbreaks_investigations_index.txt,16.298
token,q5,"According to the CDC, roughly how many Salmonella infections occur in the U.S. every year, and what are the most common food sources?",cdc_about_salmonella.txt,4,0.603651,0.573808,789,"linked to recalled cantaloupe. As part of this investigation, FDA and industry partners worked together to collect and analyze samples of cantaloupe. Two of the",fda_outbreak_salmonella_cantaloupes_2023.txt,16.298
token,q5,"According to the CDC, roughly how many Salmonella infections occur in the U.S. every year, and what are the most common food sources?",cdc_about_salmonella.txt,5,0.589951,0.556007,487,Investigations Date Posted Reference # Pathogen or Cause of Illness Product(s) Linked to Illnesses (if any) Total Case Count Investigation Status Outbreak/ Even,fda_outbreaks_investigations_index.txt,16.298
token,q6,What precautions reduce E. coli contamination risk in ground beef at a grocery store?,NONE (no matching document exists in the corpus -- intentional probe question),1,0.667772,0.561986,742,"will be posted on the FSIS website at www.fsis.usda.gov/recalls . FSIS advises all consumers to safely prepare their raw meat products, including fresh and froz",fsis_ground_beef_ecoli_2026.txt,15.562
token,q6,What precautions reduce E. coli contamination risk in ground beef at a grocery store?,NONE (no matching document exists in the corpus -- intentional probe question),2,0.644306,0.529123,874,"but is most common in children under 5 years old, older adults and persons with weakened immune systems. It is marked by easy bruising, pallor and decreased uri",fsis_ground_beef_ecoli_2026.txt,15.562
token,q6,What precautions reduce E. coli contamination risk in ground beef at a grocery store?,NONE (no matching document exists in the corpus -- intentional probe question),3,0.640863,0.491717,693,Recall Cases in Calendar Year 2015 Summary of Recall Cases in Calendar Year 2014 Summary of Recall Cases in Calendar Year 2013 Summary of Recall Cases in Calend,fsis_ground_beef_ecoli_2026.txt,15.562
token,q6,What precautions reduce E. coli contamination risk in ground beef at a grocery store?,NONE (no matching document exists in the corpus -- intentional probe question),4,0.632541,0.576458,670,"E. coli are bacteria found in intestines and the environment. Most strains are harmless, but some cause diarrhea and serious conditions. Infection with Shiga to",cdc_about_ecoli.txt,15.562
token,q6,What precautions reduce E. coli contamination risk in ground beef at a grocery store?,NONE (no matching document exists in the corpus -- intentional probe question),5,0.632111,0.655045,669,"a Problem with Food Online If you have a problem with a food product, let FSIS know or find the appropriate public health organization. Report Problem 042-2025 ",fsis_ground_beef_ecoli_2026.txt,15.562
semantic,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,1,0.713577,0.669146,602,"## Investigation Findings Six product samples and environmental samples tested positive for outbreak strain Listeria monocytogenes. Of interviewed individuals, ",fda_outbreak_listeria_soft_cheese_2026.txt,9.877
semantic,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,2,0.697684,0.632791,1398,## Overview The FDA and CDC investigated a multi-state outbreak of Listeria monocytogenes infections linked to requeson (soft ricotta-style cheese) manufactured,fda_outbreak_listeria_soft_cheese_2026.txt,9.877
semantic,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,3,0.549028,0.571647,2888,"OUS: HONDURAS, NICARAGUA, CHILE. Recall #F-1572-2016 | Class I | Firm: Hy-Vee Stores Inc (West Des Moines, IA) | Initiated: 20160303 | Product: Whole wheels and",openfda_enforcement_bulk_records.txt,9.877
semantic,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,4,0.526689,0.550757,2748,"Recall #F-1656-2017 | Class I | Firm: Sargento Foods, Inc. (Plymouth, WI) | Initiated: 20170210 | Product: Sargento Shredded Chef Blends 4 Cheese Pizzeria, 8oz.",openfda_enforcement_bulk_records.txt,9.877
semantic,q1,"What pathogen caused the June 2026 soft cheese (requeson) outbreak linked to Clover Hill Dairy, and how many people died?",fda_outbreak_listeria_soft_cheese_2026.txt,5,0.518243,0.480693,709,"| Distribution: The product was distributed nationwide. Recall #F-2543-2015 | Class I | Firm: Blue Bell Creameries, L.P. (Brenham, TX) | Initiated: 20150313 | P",openfda_enforcement_bulk_records.txt,9.877
semantic,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,1,0.622073,0.656914,1331,"Updated: Aug 27, 2026. The FDA elevated a pistachio nut butter recall to Class I status on August 26, 2026 -- its most serious risk classification. According to",news_nutbutter_salmonella_botticelli_2026.txt,9.721
semantic,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,2,0.495775,0.502497,1251,"Distribution was also made to Canada. Recall #F-0369-2013 | Class I | Firm: Sunland, Incorporated (Portales, NM) | Initiated: 20120924 | Product: Sunland Creamy",openfda_enforcement_bulk_records.txt,9.721
semantic,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,3,0.486213,0.540627,9347,"Thomas and St. Croix, Anguilla, St, Kitts and Nevis, Montserrat, and Dominica Recall #F-0370-2013 | Class I | Firm: Sunland, Incorporated (Portales, NM) | Initi",openfda_enforcement_bulk_records.txt,9.721
semantic,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,4,0.484095,0.156945,25,"Published: Aug 27, 2026.",news_nutbutter_salmonella_botticelli_2026.txt,9.721
semantic,q2,"Which company's pistachio nut butter was elevated to a Class I recall in August 2026, and which retailer sold it?",news_nutbutter_salmonella_botticelli_2026.txt,5,0.47536,0.505701,941,"Thomas and St. Croix, Anguilla, St, Kitts and Nevis, Montserrat, and Dominica Recall #F-2044-2016 | Class I | Firm: Superior Dairy Inc (Canton, OH) | Initiated:",openfda_enforcement_bulk_records.txt,9.721
semantic,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,1,0.731538,0.69797,837,"Key Dates: Investigation Period June-August 2026. Illness Onset April-May 2026. Last Illness Onset May 31, 2026. Recall Date June 13, 2026. Outbreak Declared Ov",fda_outbreak_infant_botulism_formula_2026.txt,9.543
semantic,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,2,0.722384,0.594913,154,"Product: Nara Organics Whole Milk Organic Infant Formula (recalled June 13, 2026). Cases: 4 confirmed cases across 3 states, all hospitalized, no deaths.",cdc_outbreak_infant_botulism_formula_2026.txt,9.543
semantic,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,3,0.670668,0.609825,731,"Company Name: Nara Organics of New York, NY Product: Nara Organics Whole Milk Powdered Infant Formula Sizes and UPCs: - 700g, UPC 860013251901 - 400g, UPC 86001",fda_recall_nara_organics_infant_formula_2026.txt,9.543
semantic,q3,What shared supplier link did investigators find between the 2026 Nara Organics infant formula botulism outbreak and the earlier ByHeart formula outbreak?,fda_outbreak_infant_botulism_formula_2026.txt,4,0.663843,0.513553,292,Consumer Guidance: Customers should stop using the affected products immediately and contact healthcare providers if symptoms of infant botulism appear. Refund ,fda_recall_nara_organics_infant_formula_2026.txt,9.543
